iter	Passed	Remaining
0	1	117
1	2	110
2	3	106
3	4	99
4	5	100
5	6	99
6	7	98
7	8	96
8	9	94
9	10	93
10	11	91
11	12	90
12	13	89
13	14	88
14	16	92
15	18	99
16	20	100
17	21	99
18	22	97
19	23	95
20	24	93
21	25	91
22	26	90
23	27	88
24	28	86
25	30	85
26	30	83
27	32	82
28	33	80
29	34	79
30	35	78
31	36	77
32	37	75
33	38	74
34	39	73
35	40	72
36	41	70
37	42	69
38	43	68
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	49	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	52
51	56	51
52	57	50
53	58	49
54	58	48
55	59	47
56	60	45
57	61	44
58	63	43
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
